id,name,url,type,primary_use,address,neighbourhood,ownership,area,capacity,active_space,longitude,latitiude
127,Forge and Form,www.forgeandform.com,Studio/Rehearsal ,Artist Studio,"1334 Cartwright St, Vancouver, BC, V6H 3R8",Fairview,Government,,,Yes,-123.1343033,49.2698934
128,Fortune Sound Club,http://www.fortunesoundclub.com/,Theatre/Performance,Performance Space,"147 E Pender St, Vancouver, BC, V6A 1T5",Downtown,Privately Owned,,,Yes,-123.1008605,49.2806621
129,Fox Cabaret,http://www.foxcabaret.com/,Cafﾂ/Restaurant/Bar,Bar/Lounge/Cabaret,"2321 Main St, Vancouver, BC, V5T 3C9",Mount Pleasant,Privately Owned,,,Yes,-123.1014108,49.2642396
130,Frederic Wood Theatre,http://www.theatre.ubc.ca/facilities_images.shtml,Theatre/Performance,Theatre,"6354 Crescent Rd, Vancouver, BC, V6T 1Z2",,Government,,400,Yes,-123.2572691,49.268215
131,Gallery 295,http://gallery295.com/295/,Museum/Gallery,Museum/Gallery,"295 E 2nd Ave, Vancouver, BC, V5T 1B8",Strathcona,Privately Owned,,,Yes,-123.0981191,49.2680645
132,Gallery Gachet,www.gachet.org?,Museum/Gallery,Museum/Gallery,"88 E Cordova St, Vancouver, BC, V6A 1K2",Downtown,Privately Owned,2600,,Yes,-123.102645,49.2821
133,Gallery Jones,www.galleryjones.com?,Museum/Gallery,Museum/Gallery,"1725 W 3rd Av, Vancouver, BC, V6J 1K7",Fairview,Privately Owned,,,Yes,-123.1438197,49.2689012
134,Gallery of BC Ceramics,http://www.bcpotters.com/Gallery/index.php,Museum/Gallery,Museum/Gallery,"1359 Cartwright St, Vancouver, BC, V6H 3R7",Fairview,Non-Profit,,,Yes,-123.134283,49.270046
135,Gam Gallery,http://gamgallery.com/contact/,Museum/Gallery,Museum/Gallery,"110 E Hastings St, Vancouver, BC, V6N 1N4",Downtown,,2000,,Yes,-123.101858,49.2813343
136,GMS Observatory,http://www.spacecentre.ca/gms,Museum/Gallery,Garden/Aquarium/Science Centre,"1100 Chestnut St, Vancouver, BC, V6J 3J9",Kitsilano,City of Vancouver,2811,,Yes,-123.144436,49.276261
